,Temp.Cat,unique.ID,Temp.C,K,Ambient_Nutrient,Species,Chamber.Channel,Run,umol.cm2.hr,log.rate,rate.type,Condition,individual.ID,Species.ID,Organism.ID
1078,42,G1_AD_42,42,315.15,Ambient,Grac,1,8,34.9349589,3.581710607,Respiration,RespirationAmbient,G1_AD,G1_D,G1
217,16,G1_AL_16,16,289.15,Ambient,Grac,1,15,211.8570291,5.360620715,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
218,20,G1_AL_20,20,293.15,Ambient,Grac,1,15,230.3837402,5.444077545,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
219,22,G1_AL_22,22,295.15,Ambient,Grac,1,15,251.3793393,5.53093327,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
220,24,G1_AL_24,24,297.15,Ambient,Grac,1,15,241.7405499,5.491993177,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
221,26,G1_AL_26,26,299.15,Ambient,Grac,1,15,252.4824388,5.535294546,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
222,28,G1_AL_28,28,301.15,Ambient,Grac,1,15,244.7677937,5.504387162,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
223,30,G1_AL_30,30,303.15,Ambient,Grac,1,15,203.268891,5.319437219,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
224,32,G1_AL_32,32,305.15,Ambient,Grac,1,15,177.3808304,5.183920761,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
225,34,G1_AL_34,34,307.15,Ambient,Grac,1,15,144.0687726,4.977207924,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
226,36,G1_AL_36,36,309.15,Ambient,Grac,1,15,69.31614958,4.253001496,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
227,39,G1_AL_39,39,312.15,Ambient,Grac,1,15,-48.20163708,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
228,42,G1_AL_42,42,315.15,Ambient,Grac,1,15,-73.1834202,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G1_AL,G1_L,G1
1079,16,G1_ND_16,16,289.15,Nutrient,Grac,1,2,30.32491812,3.444413887,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1080,20,G1_ND_20,20,293.15,Nutrient,Grac,1,2,46.45595272,3.85980197,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1081,22,G1_ND_22,22,295.15,Nutrient,Grac,1,2,44.29680616,3.813236526,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1082,24,G1_ND_24,24,297.15,Nutrient,Grac,1,2,43.63236043,3.798459166,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1083,26,G1_ND_26,26,299.15,Nutrient,Grac,1,2,48.45473685,3.901057844,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1084,28,G1_ND_28,28,301.15,Nutrient,Grac,1,2,46.89330578,3.868975741,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1085,30,G1_ND_30,30,303.15,Nutrient,Grac,1,2,44.35552093,3.81453191,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1086,32,G1_ND_32,32,305.15,Nutrient,Grac,1,2,45.06694882,3.830095748,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1087,34,G1_ND_34,34,307.15,Nutrient,Grac,1,2,49.4295108,3.920576535,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1088,36,G1_ND_36,36,309.15,Nutrient,Grac,1,2,48.61415805,3.904276238,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1089,39,G1_ND_39,39,312.15,Nutrient,Grac,1,2,82.69755621,4.42720978,Respiration,RespirationNutrient,G1_ND,G1_D,G1
1090,42,G1_ND_42,42,315.15,Nutrient,Grac,1,2,9.992929423,2.397252286,Respiration,RespirationNutrient,G1_ND,G1_D,G1
229,16,G1_NL_16,16,289.15,Nutrient,Grac,1,5,104.6728502,4.660348003,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
230,20,G1_NL_20,20,293.15,Nutrient,Grac,1,5,138.7087126,4.939559631,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
231,22,G1_NL_22,22,295.15,Nutrient,Grac,1,5,163.2252839,5.101239168,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
232,24,G1_NL_24,24,297.15,Nutrient,Grac,1,5,161.8937705,5.093098274,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
233,26,G1_NL_26,26,299.15,Nutrient,Grac,1,5,192.5291176,5.26542798,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
234,28,G1_NL_28,28,301.15,Nutrient,Grac,1,5,187.825011,5.240820718,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
235,30,G1_NL_30,30,303.15,Nutrient,Grac,1,5,143.9660747,4.976499747,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
236,32,G1_NL_32,32,305.15,Nutrient,Grac,1,5,158.731719,5.073495652,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
237,34,G1_NL_34,34,307.15,Nutrient,Grac,1,5,131.9495078,4.889969416,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
238,36,G1_NL_36,36,309.15,Nutrient,Grac,1,5,-1.421718031,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
239,39,G1_NL_39,39,312.15,Nutrient,Grac,1,5,-70.84365861,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
240,42,G1_NL_42,42,315.15,Nutrient,Grac,1,5,-121.6458023,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G1_NL,G1_L,G1
1091,16,G10_AD_16,16,289.15,Ambient,Grac,10,8,12.60228963,2.610238134,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1092,20,G10_AD_20,20,293.15,Ambient,Grac,10,8,17.60538906,2.923451273,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1093,22,G10_AD_22,22,295.15,Ambient,Grac,10,8,20.13098245,3.050740326,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1094,24,G10_AD_24,24,297.15,Ambient,Grac,10,8,22.78304091,3.16897276,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1095,26,G10_AD_26,26,299.15,Ambient,Grac,10,8,23.64921516,3.204745061,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1096,28,G10_AD_28,28,301.15,Ambient,Grac,10,8,31.65040063,3.485857126,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1097,30,G10_AD_30,30,303.15,Ambient,Grac,10,8,25.91587782,3.292716366,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1098,32,G10_AD_32,32,305.15,Ambient,Grac,10,8,29.4870179,3.41730095,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1099,34,G10_AD_34,34,307.15,Ambient,Grac,10,8,29.17377601,3.406973203,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1100,36,G10_AD_36,36,309.15,Ambient,Grac,10,8,18.6111398,2.976097762,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1101,39,G10_AD_39,39,312.15,Ambient,Grac,10,8,23.21835903,3.187110983,Respiration,RespirationAmbient,G10_AD,G10_D,G10
1102,42,G10_AD_42,42,315.15,Ambient,Grac,10,8,23.70533475,3.207019202,Respiration,RespirationAmbient,G10_AD,G10_D,G10
241,16,G10_AL_16,16,289.15,Ambient,Grac,10,15,116.8864049,4.76972149,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
242,20,G10_AL_20,20,293.15,Ambient,Grac,10,15,174.1415219,5.165594344,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
243,22,G10_AL_22,22,295.15,Ambient,Grac,10,15,167.7821879,5.128609055,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
244,24,G10_AL_24,24,297.15,Ambient,Grac,10,15,174.7825971,5.169247988,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
245,26,G10_AL_26,26,299.15,Ambient,Grac,10,15,161.046643,5.087884214,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
246,28,G10_AL_28,28,301.15,Ambient,Grac,10,15,149.4610683,5.013704368,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
247,30,G10_AL_30,30,303.15,Ambient,Grac,10,15,125.2895818,4.838577538,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
248,32,G10_AL_32,32,305.15,Ambient,Grac,10,15,102.7461948,4.641947482,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
249,34,G10_AL_34,34,307.15,Ambient,Grac,10,15,106.8605216,4.680838926,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
250,36,G10_AL_36,36,309.15,Ambient,Grac,10,15,30.77232928,3.458595763,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
251,39,G10_AL_39,39,312.15,Ambient,Grac,10,15,-38.64684084,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
252,42,G10_AL_42,42,315.15,Ambient,Grac,10,15,-41.03259127,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G10_AL,G10_L,G10
1103,16,G10_ND_16,16,289.15,Nutrient,Grac,10,2,30.5407107,3.451279115,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1104,20,G10_ND_20,20,293.15,Nutrient,Grac,10,2,39.84408367,3.70976198,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1105,22,G10_ND_22,22,295.15,Nutrient,Grac,10,2,39.67194965,3.705538657,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1106,24,G10_ND_24,24,297.15,Nutrient,Grac,10,2,40.19917876,3.718418323,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1107,26,G10_ND_26,26,299.15,Nutrient,Grac,10,2,38.26255595,3.67027129,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1108,28,G10_ND_28,28,301.15,Nutrient,Grac,10,2,41.31948631,3.745247649,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1109,30,G10_ND_30,30,303.15,Nutrient,Grac,10,2,36.86012532,3.633898456,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1110,32,G10_ND_32,32,305.15,Nutrient,Grac,10,2,37.65374123,3.654643568,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1111,34,G10_ND_34,34,307.15,Nutrient,Grac,10,2,40.98664826,3.737351669,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1112,36,G10_ND_36,36,309.15,Nutrient,Grac,10,2,44.03492081,3.807438207,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1113,39,G10_ND_39,39,312.15,Nutrient,Grac,10,2,84.8401715,4.452487096,Respiration,RespirationNutrient,G10_ND,G10_D,G10
1114,42,G10_ND_42,42,315.15,Nutrient,Grac,10,2,48.29907674,3.897905353,Respiration,RespirationNutrient,G10_ND,G10_D,G10
253,16,G10_NL_16,16,289.15,Nutrient,Grac,10,5,88.58383934,4.495174939,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
254,20,G10_NL_20,20,293.15,Nutrient,Grac,10,5,134.4948201,4.908933412,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
255,22,G10_NL_22,22,295.15,Nutrient,Grac,10,5,158.0817559,5.069418258,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
256,26,G10_NL_26,26,299.15,Nutrient,Grac,10,5,171.9976167,5.153277818,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
257,28,G10_NL_28,28,301.15,Nutrient,Grac,10,5,191.1490077,5.258271153,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
258,30,G10_NL_30,30,303.15,Nutrient,Grac,10,5,143.5653657,4.973731763,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
259,32,G10_NL_32,32,305.15,Nutrient,Grac,10,5,136.3835133,4.922776382,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
260,34,G10_NL_34,34,307.15,Nutrient,Grac,10,5,108.696429,4.697716814,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
261,36,G10_NL_36,36,309.15,Nutrient,Grac,10,5,-20.58062716,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
262,39,G10_NL_39,39,312.15,Nutrient,Grac,10,5,-60.02108377,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
263,42,G10_NL_42,42,315.15,Nutrient,Grac,10,5,-82.4338084,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G10_NL,G10_L,G10
1115,16,G2_AD_16,16,289.15,Ambient,Grac,2,8,19.03448887,2.997455232,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1116,20,G2_AD_20,20,293.15,Ambient,Grac,2,8,28.15614005,3.372665527,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1117,22,G2_AD_22,22,295.15,Ambient,Grac,2,8,32.60240132,3.514597532,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1118,24,G2_AD_24,24,297.15,Ambient,Grac,2,8,33.68289555,3.546246642,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1119,26,G2_AD_26,26,299.15,Ambient,Grac,2,8,26.85057263,3.326853527,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1120,28,G2_AD_28,28,301.15,Ambient,Grac,2,8,39.78102005,3.708216778,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1121,30,G2_AD_30,30,303.15,Ambient,Grac,2,8,36.00717817,3.611111898,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1122,32,G2_AD_32,32,305.15,Ambient,Grac,2,8,43.69901897,3.799951554,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1123,34,G2_AD_34,34,307.15,Ambient,Grac,2,8,34.0738435,3.557455653,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1124,36,G2_AD_36,36,309.15,Ambient,Grac,2,8,31.56045879,3.483098632,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1125,39,G2_AD_39,39,312.15,Ambient,Grac,2,8,31.67379878,3.486573496,Respiration,RespirationAmbient,G2_AD,G2_D,G2
1126,42,G2_AD_42,42,315.15,Ambient,Grac,2,8,29.78931727,3.427167788,Respiration,RespirationAmbient,G2_AD,G2_D,G2
264,16,G2_AL_16,16,289.15,Ambient,Grac,2,15,94.2220721,4.556211765,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
265,20,G2_AL_20,20,293.15,Ambient,Grac,2,15,161.4051476,5.090094124,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
266,22,G2_AL_22,22,295.15,Ambient,Grac,2,15,173.6425075,5.16274107,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
267,24,G2_AL_24,24,297.15,Ambient,Grac,2,15,219.8592096,5.397525438,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
268,26,G2_AL_26,26,299.15,Ambient,Grac,2,15,216.5182633,5.382282816,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
269,28,G2_AL_28,28,301.15,Ambient,Grac,2,15,211.2228308,5.357636811,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
270,30,G2_AL_30,30,303.15,Ambient,Grac,2,15,174.8680393,5.169733937,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
271,32,G2_AL_32,32,305.15,Ambient,Grac,2,15,160.1213534,5.082157829,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
272,34,G2_AL_34,34,307.15,Ambient,Grac,2,15,143.9127153,4.976131598,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
273,36,G2_AL_36,36,309.15,Ambient,Grac,2,15,101.7138125,4.631946602,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
274,39,G2_AL_39,39,312.15,Ambient,Grac,2,15,-22.52491905,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
275,42,G2_AL_42,42,315.15,Ambient,Grac,2,15,-41.41812793,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G2_AL,G2_L,G2
276,16,G2_NL_16,16,289.15,Nutrient,Grac,2,5,77.58382007,4.364165827,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
277,20,G2_NL_20,20,293.15,Nutrient,Grac,2,5,117.4156564,4.774200947,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
278,22,G2_NL_22,22,295.15,Nutrient,Grac,2,5,150.214967,5.018702447,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
279,24,G2_NL_24,24,297.15,Nutrient,Grac,2,5,165.2105054,5.11325509,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
280,26,G2_NL_26,26,299.15,Nutrient,Grac,2,5,166.5899239,5.121520066,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
281,28,G2_NL_28,28,301.15,Nutrient,Grac,2,5,180.9008838,5.203461944,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
282,30,G2_NL_30,30,303.15,Nutrient,Grac,2,5,144.3001634,4.978801695,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
283,32,G2_NL_32,32,305.15,Nutrient,Grac,2,5,140.7346642,4.953956748,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
284,34,G2_NL_34,34,307.15,Nutrient,Grac,2,5,118.824891,4.786031435,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
285,36,G2_NL_36,36,309.15,Nutrient,Grac,2,5,0.222493992,0.200893028,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
286,39,G2_NL_39,39,312.15,Nutrient,Grac,2,5,-66.5361594,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
287,42,G2_NL_42,42,315.15,Nutrient,Grac,2,5,-89.98327139,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G2_NL,G2_L,G2
1127,16,G3_AD_16,16,289.15,Ambient,Grac,3,8,25.60655933,3.281157777,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1128,20,G3_AD_20,20,293.15,Ambient,Grac,3,8,39.32234108,3.696905685,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1129,22,G3_AD_22,22,295.15,Ambient,Grac,3,8,41.50889889,3.74971344,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1130,24,G3_AD_24,24,297.15,Ambient,Grac,3,8,43.82329142,3.802727902,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1131,26,G3_AD_26,26,299.15,Ambient,Grac,3,8,44.42177734,3.815991667,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1132,28,G3_AD_28,28,301.15,Ambient,Grac,3,8,48.42223199,3.900400363,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1133,30,G3_AD_30,30,303.15,Ambient,Grac,3,8,47.73359694,3.886368668,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1134,32,G3_AD_32,32,305.15,Ambient,Grac,3,8,51.03549722,3.951926125,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1135,34,G3_AD_34,34,307.15,Ambient,Grac,3,8,41.92910128,3.759549947,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1136,36,G3_AD_36,36,309.15,Ambient,Grac,3,8,41.2240524,3.742990021,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1137,39,G3_AD_39,39,312.15,Ambient,Grac,3,8,38.9285012,3.687090385,Respiration,RespirationAmbient,G3_AD,G3_D,G3
1138,42,G3_AD_42,42,315.15,Ambient,Grac,3,8,36.50243711,3.62440592,Respiration,RespirationAmbient,G3_AD,G3_D,G3
288,16,G3_AL_16,16,289.15,Ambient,Grac,3,15,93.38716618,4.547405112,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
289,20,G3_AL_20,20,293.15,Ambient,Grac,3,15,139.848042,4.947681593,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
290,22,G3_AL_22,22,295.15,Ambient,Grac,3,15,134.4075464,4.908289093,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
291,24,G3_AL_24,24,297.15,Ambient,Grac,3,15,162.5771393,5.097284679,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
292,26,G3_AL_26,26,299.15,Ambient,Grac,3,15,152.2617052,5.032146952,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
293,28,G3_AL_28,28,301.15,Ambient,Grac,3,15,145.8058421,4.989110912,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
294,30,G3_AL_30,30,303.15,Ambient,Grac,3,15,124.562407,4.832802902,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
295,32,G3_AL_32,32,305.15,Ambient,Grac,3,15,109.5734511,4.705680016,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
296,34,G3_AL_34,34,307.15,Ambient,Grac,3,15,103.7383745,4.651465569,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
297,36,G3_AL_36,36,309.15,Ambient,Grac,3,15,50.15819787,3.934922751,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
298,39,G3_AL_39,39,312.15,Ambient,Grac,3,15,-23.6939729,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
299,42,G3_AL_42,42,315.15,Ambient,Grac,3,15,-41.0040704,0.000001,Net Photosynthesis,Net PhotosynthesisAmbient,G3_AL,G3_L,G3
1139,16,G3_ND_16,16,289.15,Nutrient,Grac,3,2,30.03655193,3.435165604,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1140,20,G3_ND_20,20,293.15,Nutrient,Grac,3,2,40.12183373,3.716539215,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1141,22,G3_ND_22,22,295.15,Nutrient,Grac,3,2,38.91210612,3.686679689,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1142,24,G3_ND_24,24,297.15,Nutrient,Grac,3,2,39.71961714,3.70670997,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1143,26,G3_ND_26,26,299.15,Nutrient,Grac,3,2,42.90499172,3.78202802,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1144,28,G3_ND_28,28,301.15,Nutrient,Grac,3,2,44.77778913,3.82379902,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1145,30,G3_ND_30,30,303.15,Nutrient,Grac,3,2,42.08546746,3.763185758,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1146,32,G3_ND_32,32,305.15,Nutrient,Grac,3,2,37.01712752,3.638036782,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1147,34,G3_ND_34,34,307.15,Nutrient,Grac,3,2,38.74705101,3.68253565,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1148,36,G3_ND_36,36,309.15,Nutrient,Grac,3,2,49.92212408,3.930297487,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1149,39,G3_ND_39,39,312.15,Nutrient,Grac,3,2,82.67914296,4.426989758,Respiration,RespirationNutrient,G3_ND,G3_D,G3
1150,42,G3_ND_42,42,315.15,Nutrient,Grac,3,2,54.35502781,4.013767492,Respiration,RespirationNutrient,G3_ND,G3_D,G3
300,16,G3_NL_16,16,289.15,Nutrient,Grac,3,5,103.3136196,4.647401934,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
301,20,G3_NL_20,20,293.15,Nutrient,Grac,3,5,152.6098337,5.03441584,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
302,22,G3_NL_22,22,295.15,Nutrient,Grac,3,5,186.0057702,5.231139473,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
303,24,G3_NL_24,24,297.15,Nutrient,Grac,3,5,201.0273046,5.30840286,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
304,26,G3_NL_26,26,299.15,Nutrient,Grac,3,5,262.0807206,5.572460908,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
305,28,G3_NL_28,28,301.15,Nutrient,Grac,3,5,188.6651113,5.245259945,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
306,30,G3_NL_30,30,303.15,Nutrient,Grac,3,5,188.9086347,5.246543087,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
307,32,G3_NL_32,32,305.15,Nutrient,Grac,3,5,137.9815138,4.93434093,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
308,34,G3_NL_34,34,307.15,Nutrient,Grac,3,5,130.2022915,4.876740342,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
309,36,G3_NL_36,36,309.15,Nutrient,Grac,3,5,80.53140154,4.400988241,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
310,39,G3_NL_39,39,312.15,Nutrient,Grac,3,5,-25.75867097,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
311,42,G3_NL_42,42,315.15,Nutrient,Grac,3,5,-51.96414099,0.000001,Net Photosynthesis,Net PhotosynthesisNutrient,G3_NL,G3_L,G3
1151,16,G4_AD_16,16,289.15,Ambient,Grac,4,8,31.1034789,3.468964401,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1152,20,G4_AD_20,20,293.15,Ambient,Grac,4,8,46.85193988,3.868111658,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1153,22,G4_AD_22,22,295.15,Ambient,Grac,4,8,50.77744481,3.946954626,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1154,24,G4_AD_24,24,297.15,Ambient,Grac,4,8,54.52941811,4.016912936,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1155,26,G4_AD_26,26,299.15,Ambient,Grac,4,8,54.48634214,4.016136903,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1156,28,G4_AD_28,28,301.15,Ambient,Grac,4,8,59.72965163,4.106432074,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1157,30,G4_AD_30,30,303.15,Ambient,Grac,4,8,52.90679059,3.987256455,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1158,32,G4_AD_32,32,305.15,Ambient,Grac,4,8,54.73719669,4.020647728,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1159,34,G4_AD_34,34,307.15,Ambient,Grac,4,8,46.05702099,3.851360079,Respiration,RespirationAmbient,G4_AD,G4_D,G4
1160,36,G4_AD_36,36,309.15,Ambient,Grac,4,8,46.05721303,3.85136416,Respiration,RespirationAmbient,G4_AD,G4_D,G4
